gene,log2FC,pvalue,mean_cancer,mean_normal,FDR
UXT,-0.4694864318483045,2.3033401430442272e-11,9.91274433048503,10.382230762333334,1.7415869951372083e-10
VAC14,0.5304422656411178,2.8563154162598718e-12,6.6227194461077845,6.092277180466667,2.4476590533343022e-11
VAC14-AS1,0.009874497899534429,0.4805468670088494,2.61455472545509,2.6046802275555554,0.6100151085864667
VAMP1,-0.10154868277564955,0.64201902563361,6.031113707491018,6.132662390266668,0.7484490190563956
VAMP2,-0.16159967685482446,0.11484782658909949,5.234930359856287,5.396530036711112,0.19763224070085714
VAMP3,-0.04727789956220896,0.3259284553910873,10.872259782215568,10.919537681777777,0.4596143642125163
VAMP4,-0.2621013560548233,2.1382660086968696e-05,7.553972438856288,7.816073794911111,7.508214591618228e-05
VAMP5,0.05606204240957968,0.6479825384410602,7.05081465120958,6.994752608800001,0.7528190509222635
VAMP7,-0.019014009491282735,0.7221246812313797,9.202756394197605,9.221770403688888,0.8097536123590456
VAMP8,-0.5465170049640715,6.190012549389205e-11,11.234754397035928,11.781271402,4.405209553033437e-10
VANGL1,0.43261868551257265,3.591630371242537e-07,8.962681721712574,8.530063036200001,1.6040699374200516e-06
VANGL2,1.1875290993841645,2.7140045070997414e-17,5.966355962473053,4.778826863088889,4.297330319892186e-16
VAPA,0.08866913255888065,0.03964109430287428,11.484598003892215,11.395928871333334,0.07867015679154858
VAPB,0.1845053430526935,0.006457426553005821,8.373104810652695,8.188599467600001,0.015288278097348219
VARS,0.2056276041234879,0.056108437901607404,6.839258044479043,6.633630440355555,0.10664238737238556
VARS2,-0.7612470734288745,3.4563052396680675e-14,7.3339313952155685,8.095178468644443,3.7747142665205434e-13
VASH1,0.6051001795612772,5.0159821822781246e-12,4.68811287369461,4.083012694133333,4.153661684058034e-11
VASH2,0.24992929012095777,0.029271362235524366,3.8802277615209575,3.6302984713999997,0.059984663497429244
VASN,-0.568039829700731,7.698782781973767e-06,5.4823709811437125,6.050410810844443,2.8763577735395134e-05
VASP,0.634718718829939,3.0549303915800763e-10,8.903526079029941,8.268807360200002,2.000481034898459e-09
VAT1,-1.1125323312090494,5.907596259587391e-12,8.228866070413172,9.341398401622222,4.849867327569412e-11
VAT1L,-0.041607472541584034,0.14478076818634236,2.627202840347305,2.668810312888889,0.24019896861021775
VAV1,-0.013270840491816038,0.9499620045665256,3.4885336805748506,3.5018045210666666,0.9696257434190804
VAV2,1.5379632220848958,1.765516734068354e-24,7.998611618329341,6.460648396244445,7.371354539321888e-23
VAV3,-1.6564284851031292,1.593239916044484e-17,8.751446903341316,10.407875388444445,2.5835102253081356e-16
VAX2,-0.0024108989769797695,0.9369197769635385,2.2706144499341314,2.273025348911111,0.9617369923040235
VBP1,0.19251728978243499,0.0006132971214138377,10.044070424449101,9.851553134666666,0.001737093109426666
VCAM1,0.3807273955679298,0.15687304424525408,8.138663193479042,7.757935797911112,0.2567054249986707
VCAN,2.7924663765153683,1.8128654616725124e-24,10.475131226982036,7.682664850466668,7.555257151742639e-23
VCL,0.48887441475688753,4.422673876165863e-11,9.629411632556886,9.140537217799999,3.206298424799587e-10
VCP,0.32563225082594727,6.164769413370209e-08,10.407873580359281,10.082241329533334,3.019048034629931e-07
VCPIP1,0.20412099573665987,0.0018686068405042043,4.812456590892215,4.608335595155555,0.004872774619413744
VCPKMT,0.06096431538017377,0.49821005134612706,8.222489804802395,8.161525489422221,0.6260804072499252
VCX2,0.04530754150671923,0.2396247997115711,2.639119186862275,2.5938116453555558,0.3615308550874215
VCY,0.0162620462686629,0.7456316699141005,3.0530485443353292,3.0367864980666663,0.8277560702394283
VDAC1,-0.25102172937458356,4.358791716741642e-05,11.207726761736527,11.45874849111111,0.00014659584665448886
VDAC2,-0.4586907955968087,3.6290052873414365e-09,11.944428441736527,12.403119237333335,2.07319952495311e-08
VDAC3,-0.49632408541184425,7.903253268516964e-12,11.762739198143713,12.259063283555557,6.400935744554624e-11
VDR,0.7042449915681983,4.0205488999052806e-09,8.33427798379042,7.630032992222222,2.2843347114435762e-08
VEGFA,0.756147380257751,6.600740881717375e-10,10.265946313568861,9.50979893331111,4.139938360024494e-09
VEGFB,0.16160759582594775,0.08918642978959115,4.104497890359282,3.942890294533334,0.15924656731589243
VEGFC,1.456997762324951,2.812200272644026e-14,6.551701276191618,5.0947035138666665,3.1146563363113536e-13
VENTX,-0.003912766591217753,0.1836491359316809,1.8674850412754491,1.8713978078666669,0.2917778091880327
VENTXP1,0.001000392628742297,0.878061286656654,2.3968469306287425,2.3958465380000002,0.9225348872068808
VEPH1,-0.0025757868165001696,0.9215542675608519,2.781692239694611,2.784268026511111,0.9514105965974321
VEZF1,0.2153260532094503,0.00014652952246421542,8.937978034053893,8.722651980844443,0.0004563216923889001
VEZT,0.31390251886959497,5.991760691487136e-08,9.68600935342515,9.372106834555556,2.9368355745763857e-07
VGF,-0.012146188005456526,0.5424175831709726,3.2608945736167665,3.273040761622223,0.6657644065743175
VGLL1,-0.9661701730786421,4.334065012560644e-05,3.3428164459880243,4.308986619066666,0.00014584998895041554
VGLL2,-0.2879310848683967,0.09117926376543127,2.495665896976048,2.7835969818444446,0.16234875914031652
VGLL3,1.3545579573035287,3.123886208056342e-15,7.24436941812575,5.889811460822221,3.892947518536444e-14
VGLL4,0.1636449399447777,0.021633971236211365,9.089710746389223,8.926065806444445,0.04582772538510471
VHL,0.047504364428476276,0.7270809545390597,3.994113678317365,3.9466093138888887,0.8138355383715907
VIL1,0.07077444642208919,0.012216519724899696,2.8832214458443115,2.8124469994222223,0.027293653536424784
VILL,-0.06387484895316042,0.41008572295937396,2.327781872802395,2.3916567217555555,0.5457792618331058
VIM,0.1837205835395892,0.04422018811416619,13.009853751317365,12.826133167777776,0.08671219609634234
VIMP,0.153526688407851,0.007315956592502522,10.52187451618563,10.368347827777779,0.01710145962775416
VIP,-0.06958664582435148,0.21613213282837976,2.9522991445089817,3.021885790333333,0.33325043460565595
VIPAS39,-0.2226795514725195,0.0002223484212694978,6.639739771149701,6.8624193226222205,0.0006715949674780343
VIPR1,-0.8305142022830339,2.421710613828151e-06,3.6106194028502996,4.441133605133333,9.714014523910956e-06
VIPR2,-0.01814321444524314,0.2957757521196211,2.553460763065868,2.5716039775111112,0.42706852014383717
VIT,-2.9657163709815033,1.205263025227264e-19,2.7369871636407184,5.702703534622222,2.6040054784891215e-18
VKORC1,0.9211492033322672,9.100780382584047e-22,8.74181510075449,7.820665897422223,2.5930990679143587e-20
VKORC1L1,-0.10315351249673643,0.22021342026038396,7.0808904488143725,7.184043961311109,0.3381759215757826
VLDLR,-1.062288393370725,1.235084483573489e-11,7.165586714251496,8.227875107622221,9.724271501776128e-11
VMA21,0.5329772406887567,3.113001538501607e-15,9.339786715844312,8.806809475155555,3.883613696887501e-14
VMO1,0.03648963935914873,0.01181691756578081,2.589794773203593,2.5533051338444444,0.026473227641737485
VMP1,1.583083618866266,4.605813455955932e-12,9.309464106532934,7.726380487666668,3.8348257595440947e-11
VN1R1,-0.0056538726447108445,0.6520362575930121,2.446571320688623,2.4522251933333337,0.7556267628541283
VN1R10P,-0.0032530848994016814,0.6103610435022893,2.3052204057005987,2.3084734906000004,0.7233644930606816
VN1R2,0.0020064564952759767,0.6369345727883646,2.087558699473054,2.085552242977778,0.7445492783629378
VN1R3,0.0016091129277446825,0.8011069339280792,2.213548730461078,2.2119396175333335,0.86885317824585
VN1R4,-0.001877136368862331,0.5951278858012393,2.249865245431138,2.2517423818,0.7117519223842118
VN1R5,-0.0029037274206249464,0.4253906404052983,2.058441101868264,2.0613448292888887,0.5592035537186569
VNN1,1.2982657415482368,4.059691167553078e-09,4.869823341437125,3.571557599888888,2.3037136387305167e-08
VNN2,0.10530457852854269,0.6723576548126413,4.561189173395209,4.455884594866666,0.771595100925014
VNN3,0.18564261251004632,2.738506950189616e-05,3.4086599517544904,3.223017339244444,9.479128444831833e-05
VOPP1,1.0606175903220247,8.989212003155953e-12,9.313351710766469,8.252734120444444,7.211239796038442e-11
VPRBP,0.0025866311361282257,0.9698861893603049,6.913827347269462,6.911240716133333,0.9819459273668647
VPREB1,0.02841309756673338,0.22950629442072182,2.9012365440778445,2.872823446511111,0.34930512980417183
VPREB3,-0.8196793914606788,0.010647978477809928,2.5240628360059882,3.343742227466667,0.024071311883439497
VPS11,-0.4444521989196284,5.854741836416873e-09,5.740756312035928,6.185208510955556,3.253740423056061e-08
VPS13A,-0.403302106914305,7.165488174532802e-07,7.305558182263473,7.708860289177778,3.081698673558468e-06
VPS13A-AS1,-0.022288385341583616,0.3014900648218432,2.461181964347305,2.4834703496888886,0.4329437446258566
VPS13B,0.17084745583406402,0.10339926423397316,8.549447146856288,8.378599691022224,0.18074529495555858
VPS13C,0.5486469078428495,0.0003743493853375347,9.039677374131738,8.491030466288889,0.0010930466994031132
VPS13D,-0.8230116861463754,6.165451857339023e-20,7.146197287742513,7.969208973888889,1.3789397702435662e-18
VPS16,0.4006626833540894,1.4095320536623881e-10,7.824982378287426,7.424319694933336,9.629768106239307e-10
VPS18,0.15109847444790336,0.0053638563969653115,6.023584680047904,5.8724862056000005,0.012889931137755103
VPS25,-0.349939404202928,0.00018845181950448355,8.99970654657485,9.349645950777777,0.0005762938968269141
VPS26A,-0.2725242370266123,2.843523144142005e-07,10.983746169862275,11.256270406888888,1.2855129329770613e-06
VPS26B,-0.532037459543047,1.4765126333348036e-12,5.918384392634731,6.450421852177778,1.3248081980666788e-11
VPS28,-0.10173901639188188,0.11605422284828008,9.529123959497007,9.630862975888888,0.19934839480245106
VPS29,-0.3236660412055876,1.248783829500528e-08,10.497848590461079,10.821514631666666,6.673237605759957e-08
VPS33A,-0.08968155544950296,0.14644094704825253,6.353432734083831,6.443114289533334,0.2425487815595785
VPS33B,-0.463904984699667,1.1560417356076295e-12,7.467821978389221,7.931726963088888,1.0496124964564508e-11
VPS35,-0.17722799736832862,0.0034353609452312983,10.165142493053894,10.342370490422223,0.008536170550270646
VPS36,-0.6315007619325357,1.637308941694516e-19,8.18765620393413,8.819156965866666,3.481563994978674e-18
VPS37A,-0.02308725204604123,0.6825592355996384,7.918266969131737,7.941354221177778,0.7784346182095367
VPS37B,-1.233756009977112,2.2514865426845743e-14,7.940901813778444,9.174657823755556,2.526435119991322e-13
VPS37C,-0.2002276620238188,0.003113765367659594,8.631984845131736,8.832212507155555,0.0078031710418457285
VPS37D,0.028039438991217303,0.3672563509785769,3.044605714724551,3.0165662757333336,0.5031330645104988
VPS39,0.03575918214757312,0.6202530932339506,6.867030019658682,6.831270837511109,0.7315904100006594
